event_name,city,state,county,distance_mi,trip_type,month,typical_dates,attendance,food_vendor_fee,application_method,contact,url,status,notes,last_verified
Kansas State Fair,Hutchinson,KS,Reno,280,Overnight,September,Sep 11-20,"~300,000",Not researched,Commercial Vendor App (available January),kansasstatefair.gov,kansasstatefair.gov,Verified-regional,Wichita hub (+50 mi NW). MEGA-EVENT. CAVEAT: food spaces at capacity - waitlist only.,2026-06-17
Smoky Hill River Festival,Salina,KS,Saline,280,Overnight,June,Jun 11-14,"~50,000-60,000",Not researched,Online food vendor app,sah@salina.org / 785-309-5770,riverfestival.com,Verified-regional,"Wichita hub (Salina, ~90 mi N). Oakdale Park. 30+ food vendors. STANDOUT. 2026 closed; 2027 opens Fall 2026.",2026-06-17
Smoke on the Plains (Derby BBQ & Music Fest),Derby,KS,Sedgwick,290,Overnight,June,Jun 12-13,BBQ fest,Not researched,Paid vendor packages,derbybbq.com,derbybbq.com/vendor,Verified-regional,Wichita hub. High Park. 'Food Truck Row.' 15th annual.,2026-06-17
Downtown Hutchinson Rod Run,Hutchinson,KS,Reno,280,Overnight,October,Oct 2-3,"~25,000",Not researched,See organizer,downtownhutchrodrun.com,downtownhutchrodrun.com,Verified-regional,Wichita hub. 'Pit Stop' Food Trucks & Beer Garden. Coincides with Hutch Brewfest.,2026-06-17
Junction City Oktoberfest,Junction City,KS,Geary,150,Day trip,October,Oct 2-3,50+ vendors,Not researched,Online Vendor Sign-Up,junctioncityoktoberfest.com,junctioncityoktoberfest.com/about,Verified-regional,Closer than Wichita (~150 mi). Washington St. 50+ food/craft vendors + craft beer.,2026-06-17
Wichita Ribfest,Wichita,KS,Sedgwick,280,Overnight,May,Mid-May (3rd weekend),BBQ fest,Not researched,Confirm 2026,intrustbankarena.com,intrustbankarena.com,Verified-regional,Wichita hub. City Lot D by INTRUST Bank Arena. 2026 dates inferred - confirm.,2026-06-17
Taste of Omaha,Omaha,NE,Douglas,340,Overnight,May-June,Late May/early Jun (Fri-Sun),"~100,000-125,000",Not researched,Restaurant/food application form,showofficeonline.com,showofficeonline.com/TasteHome,Verified-regional,Omaha hub. Heartland of America Park. 50+ food establishments. STANDOUT.,2026-06-17
Junkstock,Waterloo,NE,Douglas,345,Overnight,May & Oct,"4 weekends (May 1-10, Oct 2-11)",23+ food trucks,Not researched,Dedicated food-vendor page,junkstock.com,junkstock.com/spring2026foodvendors,Verified-regional,Omaha hub. Sycamore Farms. 4 gig weekends/year. STANDOUT.,2026-06-17
"T&T: Trucks, Taps, Patio",Omaha,NE,Douglas,340,Overnight,Year-round,Lunch/dinner slots,Taproom,Not researched,Online guest-truck form,BookTandT@gmail.com,tandtomaha.com/guest-truck,Verified-regional,Omaha hub. Standing taproom that recruits guest trucks. Flexible non-event booking. Book 7 days ahead.,2026-06-17
Wilber Czech Festival (Czech Days),Wilber,NE,Saline,320,Overnight,Jul-Aug,Jul 31-Aug 2,65th annual,Not researched,Vendor app (due May 31),czechdaysvendors@gmail.com,nebraskaczechsofwilber.com/czech-days,Verified-regional,Lincoln area hub (~40 mi SW). Downtown. Food/drink vendors. STANDOUT cultural fest.,2026-06-17
John C. Fremont Days,Fremont,NE,Dodge,370,Overnight,July,Jul 10-12,Citywide festival,City Park booths $550; offsite $75/day,Food Vendor Application PDF,johncfremontdays.org,johncfremontdays.org/entry-forms,Verified-regional,Omaha hub (+~35 mi NW). NE Sales Tax ID + insurance + $100 deposit required.,2026-06-17
Arrows to Aerospace,Bellevue,NE,Sarpy,335,Overnight,August,Aug 13-15,55th annual,Not researched,Direct contact,drichter3@cox.net / 402-578-5302,bokiwanis.org/arrows-to-aerospace,Verified-regional,"Omaha hub. Bellevue. Welcomes food vendors (generic, not 'food trucks' specifically).",2026-06-17
Fiestas Patrias,Omaha,NE,Douglas,340,Overnight,September,Sep 11-13,Large street festival,Not researched,Casa de la Cultura,fiestaomaha.com,fiestaomaha.com,Verified-regional,Omaha hub. South Omaha (24th & N). Mexican Independence. Food vendors + beer garden.,2026-06-17
German Day Oktoberfest,Omaha,NE,Douglas,340,Overnight,September,~Sep 18-20,142nd,Not researched,German-American Society,germanamericansociety.org,germanamericansociety.org/oktoberfest,Verified-regional,Omaha hub. DOUBTFUL fit - food appears society-provided; no outside food-truck app found.,2026-06-17
Council Bluffs Farmers Market,Council Bluffs,IA,Pottawattamie,340,Overnight,May-Sep,Thu 4:30-7:30p,Local market,Not researched,FMCB / MarketSpread,councilbluffsiowa.com,councilbluffsiowa.com/farmers-market-council-bluffs,Verified-regional,Omaha hub (across river). Confirm prepared-food/concession eligibility.,2026-06-17
Papillion Days,Papillion,NE,Sarpy,345,Overnight,June,Jun 17-21 (Father's Day wknd),79th annual,Not researched,'Market in the Park' (FULL for 2026),papillionfoundation.org,papillionfoundation.org/papillion-days,Verified-regional,Omaha hub. CAVEAT: food-truck slots FULL for 2026 - a 2027 lead.,2026-06-17
Vala's Pumpkin Patch,Gretna,NE,Sarpy,350,Overnight,Fall,Sep-Oct,Large,N/A,No outside vendors,valaspumpkinpatch.com,valaspumpkinpatch.com,Excluded,Omaha hub. NOT VIABLE: internal-only food stands; runs its own hot-dog stand (Darby's Dog Depot).,2026-06-17
Mid-South Food Truck Festival,Memphis,TN,Shelby,290,Overnight,April,Apr 19 (12-5p),~30 trucks,Not researched,Email application,events@cynthiadanielsco.com,downtownmemphis.com/do/mid-south-food-truck-festival,Verified-regional,Memphis hub. Martyr's Park. Food-truck-centric. STANDOUT. 11th annual (plan 2027).,2026-06-17
Food Truck Thursday (Memphis),Memphis,TN,Shelby,290,Overnight,Year-round (weekly),Thu 11a-2p,Lunch crowd,Not researched,Downtown Memphis Commission,cotton@downtownmemphis.com,downtownmemphis.com/events/food-truck-thursday,Verified-regional,Memphis hub. Court Square Park. Weekly recurring. Lunch window limits revenue.,2026-06-17
Germantown Festival,Germantown,TN,Shelby,295,Overnight,September,Sep 12-13,"52+ yr, 18-22 food spaces",Not researched,Food Chairman (separate from general form),vincemorelli@bellsouth.net / 901-502-5302,germantownfest.com/foodvendors,Verified-regional,Memphis hub. Germantown Civic Club Complex. STANDOUT. Shelby Co health inspection.,2026-06-17
Fall Fest Memphis Food Truck Vendor Fair,Collierville,TN,Shelby,300,Overnight,October,Oct 16-17,Food truck fair,Not researched,Email Kathy Schiavone,kathy@fallfestmemphis.org,fallfestmemphis.org/festival-events/food-truck-vendor-fair,Verified-regional,Memphis hub. Church of the Incarnation. Explicitly welcomes food trucks. STANDOUT.,2026-06-17
"Bartlett Festival, BBQ Contest & Car Show",Bartlett,TN,Shelby,300,Overnight,October,Oct 2-3,Large BBQ fest,N/A,NOT taking food trucks (2026),cityofbartlett.org,cityofbartlett.org/628,Excluded,Memphis hub. EXCLUDED: official site says not accepting food truck/concession vendors for 2026. Recheck 2027.,2026-06-17
Middle TN Food Truck Festival & Competition,Hendersonville,TN,Sumner,431,Overnight,August,Aug 15,Food-truck competition,Not researched,midtnfoodtrucks.com,midtnfoodtrucks.com,midtnfoodtrucks.com,Verified-regional,"Nashville hub. Veterans Park. True food-truck competition w/ 5 awards + $1,000+ prizes. STANDOUT.",2026-06-17
Street Eats: Food Truck Thursday (Nashville),Nashville,TN,Davidson,431,Overnight,Year-round (weekly),Thu 11a-2p,Up to 20 trucks,Not researched,BestFoodTrucks,bestfoodtrucks.com/lots/streeteatsdowntown,nashvilledowntown.com/do/street-eats,Verified-regional,Nashville hub. Deaderick St. Weekly recurring. Book via BestFoodTrucks.,2026-06-17
Nashville Oktoberfest,Nashville,TN,Davidson,431,Overnight,Fall,October,Large,"Food-truck slot ~$2,000",Become-a-vendor (Food Truck category),thenashvilleoktoberfest.com,thenashvilleoktoberfest.com/become-a-vendor,Verified-regional,Nashville hub. Historic Germantown / Bicentennial Mall. Explicit Food Truck category. High fee.,2026-06-17
Franklin Main Street Festival,Franklin,TN,Williamson,440,Overnight,April,Apr 25-26,"120,000+",Not researched,Heritage Foundation / Eventeny,williamsonheritage.org,williamsonheritage.org,Verified-regional,Nashville hub. Downtown Franklin. CAVEAT: 2026 deadlines passed - plan 2027.,2026-06-17
Franklin PumpkinFest,Franklin,TN,Williamson,440,Overnight,October,Oct 24-25,"~115,000",Not researched,Eventeny (deadline Sep 18),williamsonheritage.org,eventeny.com/events/pumpkinfest-2026-26429,Verified-regional,Nashville hub. Heritage Foundation. Large fall festival.,2026-06-17
Franklin Dickens of a Christmas,Franklin,TN,Williamson,440,Overnight,December,Dec 12-13,"100,000+",Not researched,Eventeny (deadline Oct 28),williamsonheritage.org,eventeny.com/events/dickens-of-a-christmas-2026-26433,Verified-regional,Nashville hub. Heritage Foundation. Large December festival.,2026-06-17
Historic Downtown Gallatin event series,Gallatin,TN,Sumner,440,Overnight,Spring-Dec,"Square Fest, Main St Fest (Oct 3), etc.","25,000-30,000+",Not researched,Eventeny portal,downtowngallatin.org,downtowngallatin.org/festival-info,Verified-regional,Nashville hub. Multi-event series. Food-truck acceptance implied (food area present).,2026-06-17
Murfreesboro Parks & Rec events,Murfreesboro,TN,Rutherford,420,Overnight,Year-round,Varies,Park events,Not researched,INVITE-ONLY contact list,murfreesborotn.gov,murfreesborotn.gov/2704/Food-Trucks-at-Parks-Rec-Events,Verified-regional,Nashville hub. Invite-only + city Mobile Food permit required. Lower priority.,2026-06-17
"Bikes, Blues & BBQ",Rogers,AR,Benton,250,Overnight,Sep-Oct,Sep 30-Oct 3,"275,000-350,000+",Not researched,Online vendor app + food-vendor PDF,bikesbluesandbbq.org,bikesbluesandbbq.org/vendors-sponsors,Verified-regional,NW Arkansas hub. Largest-attendance event found. Charity motorcycle rally. STANDOUT.,2026-06-17
Downtown Bentonville First Fridays,Bentonville,AR,Benton,250,Overnight,Apr-Oct (monthly),"1st Fri, trucks open 11a",Recurring,Not researched,Paperform (one seasonal app Feb 5-Sep 5),downtownbentonville.org,downtownbentonville.org/events/apply,Verified-regional,NW Arkansas hub. Bentonville Square. Single seasonal application covers whole season.,2026-06-17
The Boardwalk Food Court,Springdale,AR,Washington,250,Overnight,Year-round,Daily,11 vendors,Not researched,Become-a-Vendor PDF,fun@nwaboardwalk.com,theboardwalknwa.com/become-a-vendor,Verified-regional,NW Arkansas hub. Permanent food-truck court. Recurring venue (finite slots).,2026-06-17
Cane Hill Harvest Festival,Canehill,AR,Washington,270,Overnight,September,Sep 19,Food trucks 10a-3:30p,Not researched,Google Form (open),historiccanehillar.org,historiccanehillar.org/festival,Verified-regional,NW Arkansas hub (~20 mi SW of Fayetteville). Same weekend as Benton County Fair - cluster.,2026-06-17
Benton County Fair,Bentonville,AR,Benton,250,Overnight,September,Mid-late Sep,County fair,Not researched,Food Vendor Application (Google Form),bentoncountyfairar.org,bentoncountyfairar.org/vendor-forms,Verified-regional,NW Arkansas hub. Benton County Fairgrounds. Welcomes concessions + food trucks.,2026-06-17
Washington County Fair,Prairie Grove,AR,Washington,265,Overnight,August,Late August,AR's largest/oldest county fair,10x30 food space $300/week,Commercial Vendors page (paid by Jun 15),mywashcofair.com,mywashcofair.com/commercial-vendors,Verified-regional,NW Arkansas hub. Since 1857. Food trucks + 65 vendors. Exact 2026 dates unconfirmed.,2026-06-17
Toad Suck Daze,Conway,AR,Faulkner,350,Overnight,May,Early May (~May 1-3),30+ food vendors,Not researched,Apply ~1 yr ahead (2026 FULL),toadsuck.org,toadsuck.org/food,Verified-regional,Central AR hub. 3 food concession areas. CAVEAT: spots fill a year+ ahead.,2026-06-17
Arkansas Times Craft Beer Festival,North Little Rock,AR,Pulaski,376,Overnight,April,Apr 17,50+ breweries,Not researched,Curated/contracted food trucks,northlittlerock.org,northlittlerock.org,Verified-regional,"Central AR hub. Argenta Plaza. ~3-hr evening event - limited food slots, likely curated.",2026-06-17
Steel Horse Rally,Fort Smith,AR,Sebastian,290,Overnight,May,May 1-2,"Thousands, 75+ vendors",Not researched,2026 Vendor Application PDF,info@theSteelHorseRally.com,thesteelhorserally.com,Verified-regional,AR River Valley hub (~58 mi S of Fayetteville). Free charity rally. Open food-truck app. Combine w/ NWA trip.,2026-06-17
Centralia Anchor Festival,Centralia,MO,Boone,24,,May,May 29-31 (2026),,Not researched,Vendor application by email: downtowncentraliaevents@gmail.com,Brittney Harper (director) / centraliaanchorfest@gmail.com / 573-682-7720,centraliamochamber.org,Verified - food vendors,"Carnival-style fest: parade, car show, crafts & concessions. Weekend after Memorial Day.",2026-06-18
Ashland Bay Days Festival,Ashland,MO,Boone,16,,July,Jul 17-18 (2026),,Not researched,Food/crafter vendor application at ashlandbaydays.com (Ashland Area Chamber),Ashland Area Chamber of Commerce,ashlandbaydays.com,Verified - food vendors,"Town festival (Jul 17-18, 2026): fun run, car show, food & craft vendors.",2026-06-18
Sturgeon Summer Days Rodeo,Sturgeon,MO,Boone,26,,August,Aug 14-15 (2026),,Not researched,Contact Sturgeon Summerfest (Summerfest@sturgeon-mo.org),Summerfest@sturgeon-mo.org / 618-615-2979,summerfest.sturgeon-mo.org,Verified - food vendors,"MRCA rodeo weekend, part of Sturgeon Summerfest (Aug 14-15, 2026).",2026-06-18
Fulton Street Fair,Fulton,MO,Callaway,28,,June,Jun 11-12 (2026),,Not researched,Food vendor application at fultonstreetfair.com/vendors,,fultonstreetfair.com,Verified - food vendors,"Downtown street fair (Jun 11-12, 2026): carnival, vendors, music.",2026-06-18
Kingdom of Callaway Fair,Fulton,MO,Callaway,28,,July,Late July 2026 (TBD),,Not researched,Vendor info via Kingdom of Callaway Fair (Facebook) / Callaway Chamber,callawaychamber.net,callawaycountyfairfultonmo.com,Verified - food vendors,"Callaway County fair, Fulton: carnival, demo derby, tractor pulls, music, BBQ mutton & food vendors. Callaway Co.",2026-06-18
Central Missouri Renaissance Festival,Kingdom City,MO,Callaway,24,,May,"Apr 18-19, 25-26 & May 3-4 (2026)",,Not researched,2026 vendor application at centralmorenfest.net,centralmorenfest@gmail.com,centralmorenfest.net,Verified - food vendors,Spring-weekends Renaissance faire with food vendors.,2026-06-18
Hatton Craft Fair,Auxvasse,MO,Callaway,30,,October,Oct 3 (2026),,Not researched,Via Hatton Craft Day (Facebook) / Hatton Extension Club,facebook.com/Hatton-Craft-Day,facebook.com/Hatton-Craft-Day,Verified,51st+ annual rural craft fair (180 booths) with 7 community-run food booths; first Saturday of October; limited outside food-vendor fit (weak fit). Callaway Co.,2026-06-18
Salute to America,Jefferson City,MO,Cole,32,,July,Jul 4,,Not researched,Vendor application via salutetoamerica.org (deadline ~Jun 19),573-761-0704,salutetoamerica.org,Verified - food vendors,"Large free July 4th fest at the Capitol: parade, music, vendors.",2026-06-18
Cole County Fair,Jefferson City,MO,Cole,32,,July,Jul 28 - Aug 2 (2026),,Not researched,Contact the Jefferson City Jaycees,Jefferson City Jaycees,,Verified - food vendors,"JC Jaycees county fair: carnival, food vendors.",2026-06-18
Cooper County Fair,Boonville,MO,Cooper,28,,July,Jul 21-25 (2026),,Not researched,2026 Fair Vendor Form at coopercountyfair.org,Sandy Larm (fairground scheduler) / 660-621-2441,coopercountyfair.org,Verified - food vendors,"County fair (Jul 21-25, 2026): carnival, food & vendor booths.",2026-06-18
Big Muddy Folk Festival,Boonville,MO,Cooper,28,,April,Apr 10-11 (2026),,Not researched,Via bigmuddy.org / Friends of Historic Boonville,bigmuddy.org,bigmuddy.org,Verified,"Indoor folk-music festival at Thespian Hall, Boonville (34th yr): concerts, workshops, dance & BBQ; outside food vendors not typical (weak fit). Cooper Co.",2026-06-18
Fayette Festival of the Arts,Fayette,MO,Howard,32,,August,Aug 1 (2026),,Not researched,Vendor application at fayettefestival.org/vendors.html (FAHA),,fayettefestival.org,Verified - food vendors,"Arts festival on the courthouse square (Aug 1, 2026).",2026-06-18
Chestnut Roast Festival,New Franklin,MO,Howard,28,,October,"Saturday, early October (2026)",,Not researched,Vendor info via CenterForAgroforestry.org (MU Center for Agroforestry),,centerforagroforestry.org,Verified - food vendors,"Missouri Chestnut Roast at the MU Horticulture & Agroforestry Research Farm: farm, craft & food vendors.",2026-06-18
Higbee Fair,Higbee,MO,Randolph,35,,August,Aug 13-15 (2026),,Not researched,Contact Doug Bennett / higbeefairboard@gmail.com,Doug Bennett / higbeefairboard@gmail.com / 660-651-1015,higbeefair.com,Verified - food vendors,"Small-town fair (Aug 13-15, 2026): carnival, vendors, music.",2026-06-18
Randolph County Old Settlers,Huntsville,MO,Randolph,42,,September,Sep 10-12 (2026),,Not researched,Vendor info via the Old Settlers festival (moberly.com/randolphcountyoldsettlers),,moberly.com/randolphcountyoldsettlers,Verified - food vendors,"Historic town festival on the square (Sep 10-12, 2026): parade, vendors, music.",2026-06-18
Randolph County Fair,Moberly,MO,Randolph,38,,August,Aug 24-29 (2026),,Not researched,Online vendor form at randolphcountymofair.com,Randolph Co. Fair Board / 660-269-9656,randolphcountymofair.com,Verified - food vendors,County fair at Motorsports Park; online vendor/exhibitor form.,2026-06-18
Mexico Soybean Festival,Mexico,MO,Audrain,36,,August,Aug 20-22 (2026),,Not researched,Vendor application via mexicosoybean.org (Mexico Jaycees),Mexico Jaycees / mexicomojaycees@gmail.com,mexicosoybean.org,Verified - food vendors,"Downtown Mexico festival (Aug 20-22, 2026).",2026-06-18
Walk Back in Time,Mexico,MO,Audrain,36,,September,Last full weekend September (biennial; verify 2026 occurrence),,Not researched,Food vendor: contact Janice 573-581-3910 before applying (limited space) - Audrain County Historical Society,573-581-3910,audrain.org,Verified - vending unconfirmed,"Living-history reenactment festival at Audrain County Historical Museum, Mexico: many food vendors (limited space). Biennial - sources conflict on odd/even years, so 2026 occurrence unconfirmed. Audrain Co.",2026-06-18
Ozark Ham & Turkey Festival,California,MO,Moniteau,42,,September,Sep 19 (2026); 3rd Sat Sep,,Not researched,Apply online or by mail via the California Chamber (calmo.com),California Chamber / chamber@calmo.com / 573-796-3040,calmo.com/ham-turkey-festival,Verified - food vendors,Around the courthouse + Moniteau Co. fairgrounds; large vendor footprint. 3rd Sat of Sept.,2026-06-18
Versailles Olde Tyme Apple Festival,Versailles,MO,Morgan,70,,October,Oct 3-5 (2026),,Not researched,Booth application via versaillesapplefestival.com/vendors (return vendors by May 1),Versailles Area Chamber / Nancy 573-378-4085 (flea market),versaillesapplefestival.com,Verified - food vendors,"~30k attendance, 300+ craft & food booths, parade (Oct 3-5, 2026).",2026-06-18
Morgan County Fair,Versailles,MO,Morgan,70,,July,Jul 7-12 (2026),,Not researched,Food-vendor contact: Krissy Pentz,Krissy Pentz (food vendors) / 801-391-1707,themorgancountyfair.com,Verified - food vendors,"County fair (Jul 7-12, 2026); separate food-vendor contact.",2026-06-18
Osage County Fair,Linn,MO,Osage,48,,June,Jun 11-13 (2026),,Not researched,Online registration (fairentry.com); contact the Linn Lions Club,Linn Lions Club / linnlionsclub@gmail.com,osagecountyfair.com,Verified - food vendors,"Lions-run county fair (Jun 11-13, 2026): food stand & beer garden.",2026-06-18
Taste of Osage County,Linn,MO,Osage,48,,September,Sep 12 (2026),,Not researched,Via Naturally Meramec / Osage County (naturallymeramec.org),naturallymeramec.org,naturallymeramec.org,Verified - food vendors,"Linn City Park: local food producers, vendors, live music, 4-H activities. Osage Co.",2026-06-18
Gasconade County Fair,Owensville,MO,Gasconade,70,,July,Jul 29 - Aug 1 (2026),,Not researched,Contact via gasconadecountyfair.com,gasconadecountyfair@gmail.com / 573-437-2559,gasconadecountyfair.com,Verified - food vendors,"County fair: carnival, food vendors, music. Jul 29 - Aug 1, 2026.",2026-06-18
Scott Joplin International Ragtime Festival,Sedalia,MO,Pettis,52,,May,May 27-30 (2026),,Not researched,Food-truck vendor interest form via scottjoplin.org,scottjoplin.org,scottjoplin.org,Verified - food trucks,"Ragtime music festival, Historic Downtown Sedalia; food-truck vendor interest form posted. Pettis Co.",2026-06-18
Saline County Fair,Marshall,MO,Saline,60,,September,Sep 8-12 (2026),,Not researched,Contact the Saline County Fair Assoc. (salinecountymofairgrounds.org),Saline County Fair Assoc. / 660-886-6908,salinecountymofairgrounds.org,Verified - food vendors,"County fair in Marshall (Sep 8-12, 2026).",2026-06-18
Montgomery County Fair,Montgomery City,MO,Montgomery,60,,July,Jul 20-25 (2026),,Not researched,Online application; food/beverage vendors -> vendors@montgomerycountymo.gov,montgomerycofair@gmail.com / 573-574-3249,montgomerycountyfair.org,Verified - food vendors,County fair; online vendor application.,2026-06-18
Eldon Turkey Festival,Eldon,MO,Miller,55,,September,Sep 26 (2026),,Not researched,Vendor application via the Eldon Area Chamber (eldonchamber.com),Matt Kostelnik / mkostelnik@eldonchamber.com / 573-392-3752,eldonchamber.com,Verified - food vendors,"Craft & food vendors, kids carnival, parade (Sep 26, 2026).",2026-06-18
Camdenton Dogwood Festival,Camdenton,MO,Camden,75,,April,Apr 23-25 (2026),,Not researched,Vendor application at camdentonchamber.com/dogwood-festival,Camdenton Area Chamber / info@camdentonchamber.com / 573-346-2227,camdentonchamber.com,Verified - food vendors,"75th yr (Apr 23-25, 2026): food/craft vendors, carnival, parade.",2026-06-18
Laurie Hillbilly Fair,Laurie,MO,Morgan,60,,September,Sep 26-27 (2026),,Not researched,Contact the Hillbilly Fair Committee (laurievents@aol.com / 573-374-8776),Hillbilly Fair Committee / laurievents@aol.com / 573-374-8776,lauriemo.gov,Verified - food vendors,"At Laurie fairgrounds (Sep 26-27, 2026): music, carnival, food, vendors, beer garden.",2026-06-18
Lake of the Ozarks Bikefest,Osage Beach,MO,Camden,70,,September,Sep 15-20 (2026),,Not researched,Vendor info via lakebikefest.com,lakebikefest.com,lakebikefest.com,Verified - food vendors,"6-day biker rally, Bagnell Dam Strip: 300+ bars/restaurants, vendor villages (outside food-vendor fit moderate). Camden Co.",2026-06-18
Phelps County Fair,Rolla,MO,Phelps,100,,May,May 28-30 (2026),,Not researched,Vendor info/application at phelpscountyfair.com/vendor-information.html,"Phelps County Fair / PO Box 833, Rolla",phelpscountyfair.com,Verified - food vendors,"County fair (May 28-30, 2026): rodeo, pulls, derby.",2026-06-18
St. James Grape & Fall Festival,St. James,MO,Phelps,95,,September,Sep 10-12 (2026),,Not researched,Vendor application via St. James Parks & Rec (stjamesmo.org),Kristy Rich / krich@stjamesmo.org / 573-699-8026,visitstjamesmo.com,Verified - food vendors,"At Nelson Hart Park (Sep 10-12, 2026): carnival, parade, food.",2026-06-18
Crawford County Fair,Cuba,MO,Crawford,115,,July,Jul 14-18 (2026),,Not researched,Vendor application at crawfordcofair.com/vendor-application,David Staats (mgr) / crawfordfair@gmail.com / 573-885-4155,crawfordcountyfair.info,Verified - food vendors,"79th county fair (Jul 14-18, 2026): carnival, food & vendor booths.",2026-06-18
Steelville Harvest Festival,Steelville,MO,Crawford,110,,September,Early September (2026),,Not researched,Contact the Steelville Area Chamber (573-775-5533),Steelville Area Chamber / 573-775-5533,steelville.info,Verified - food vendors,"Downtown Steelville: rodeo, parade, community celebration.",2026-06-18
MoRoots Music Festival,Steelville,MO,Crawford,110,,September,Sep 24-26 (2026),,Not researched,Vendor info via MoRoots (Facebook) / Bass River Resort 573-786-8517,573-786-8517,naturallymeramec.org,Verified - food vendors,"Roots/Americana camping music festival at Bass River Resort, Steelville: food vendors on site. Crawford Co.",2026-06-18
Dent County Fall Festival,Salem,MO,Dent,115,,September,Late September (2026),,Not researched,Contact the Dent County Fall Festival Assoc. (dentcountyfallfestival.org),Dent County Fall Festival Assoc. / 573-247-2606,dentcountyfallfestival.org,Verified - food vendors,"At The Commons, Salem: exhibits, flea market, crafts, car show, food.",2026-06-18
Pulaski County Old Settlers Day,Waynesville,MO,Pulaski,110,,July,Jul 25-26 (2026),,Not researched,Contact the Pulaski Co. Historical Society (pulaskicomo@gmail.com),Denise Seevers / pulaskicomo@gmail.com / 573-528-3644,route66courthouse.com,Verified - food vendors,"Reenactments & vendors on the square (Jul 25-26, 2026).",2026-06-18
Maries County Fair,Vienna,MO,Maries,50,,August,August (2026),,Not researched,Contact the Maries County Fair Assoc. (mariescofair@gmail.com),Maries County Fair Assoc. / mariescofair@gmail.com,mariescountyfair.weebly.com,Verified - food trucks,"County fair at 242 Ball Park Rd, Vienna: food trucks welcome, vendors & beer garden.",2026-06-18
SEMO District Fair,Cape Girardeau,MO,Cape Girardeau,205,,September,Sep 12-19 (2026),,Not researched,Vendor application at semofair.com/vendors,SEMO District Fair / info@semofair.com / 573-334-9250,semofair.com,Verified - food vendors,"Large district fair (Sep 12-19, 2026), food vendors.",2026-06-18
Jackson Homecomers,Jackson,MO,Cape Girardeau,210,,July,Jul 23-27 (2026),,Not researched,Contact the American Legion Post 158 / City of Jackson (jacksonmo.org),,jacksonmo.org,Verified - food vendors,"Uptown Jackson celebration: carnival rides, food booths nightly.",2026-06-18
Perryville Mayfest,Perryville,MO,Perry,180,,May,May 6-9 (2026),,Not researched,Vendor info via the Perryville Chamber (perryvillemo.com),,perryvillemo.com,Verified - food vendors,"Downtown square: carnival, 200+ vendor craft fair, food vendors, music.",2026-06-18
Sikeston Jaycee Bootheel Rodeo,Sikeston,MO,Scott,220,,August,Aug 5-8 (2026),,Not researched,Contact Sikeston Jaycee Events (sikestonrodeo.com),Sikeston Rodeo / 1-800-455-2855,sikestonrodeo.com,Verified - food vendors,74th pro rodeo; food vendors.,2026-06-18
Downtown Sikeston Wine Festival,Sikeston,MO,Scott,220,,September,"Early September 2026 (Saturday, TBD)",,Not researched,Vendor application via downtownsikeston.org/become-a-vendor (573-380-3801),573-380-3801,downtownsikeston.org,Verified - food trucks,Historic Downtown Sikeston wine festival (15th+ yr): wineries + food trucks on site. Scott Co.,2026-06-18
Farmington Country Days,Farmington,MO,St. Francois,170,,June,Jun 5-7 (2026),,Not researched,Vendor application via farmingtoncountrydays.com (deadline ~May 22),Farmington Regional Chamber / deena@farmingtonregionalchamber.com / 573-756-3615,farmingtoncountrydays.com,Verified - food vendors,"Town festival with vendors (Jun 5-7, 2026).",2026-06-18
St. Francois County Fair,Farmington,MO,St. Francois,170,,July,Jul 30 - Aug 1 (2026),,Not researched,Register via sfcfairgrounds.org / fairentry.com,,sfcfairgrounds.org,Verified - food vendors,"County fair (Jul 30 - Aug 1, 2026).",2026-06-18
Ste. Genevieve Jour de Fete,Ste. Genevieve,MO,Ste. Genevieve,150,,August,Aug 8-9 (2026),,Not researched,Vendor application at saintegenevievejourdefete.com/for-vendors,,saintegenevievejourdefete.com,Verified - food vendors,"2nd full weekend Aug (Aug 8-9, 2026): 200+ artisan/craft/food vendors.",2026-06-18
Fredericktown Azalea Festival,Fredericktown,MO,Madison,180,,May,"First full weekend May (May 1-3, 2026)",,Not researched,Vendor registration at azaleafestival.info/forms,Joy Starkey / 573-783-9262,azaleafestival.info,Verified - food vendors,Downtown spring festival: food vendors & crafters.,2026-06-18
Moses Austin Heritage Festival,Potosi,MO,Washington,150,,June,Mid-June (2026),,Not researched,Contact the City of Potosi (potosicity.com),,potosicity.com,Verified - food vendors,Heritage festival in downtown Potosi.,2026-06-18
Arcadia Valley Music Festival,Ironton,MO,Iron,165,,May,May 15-16 & Oct 16-17 (2026),,Not researched,Vendor info via mountainmusicfestival.net,,mountainmusicfestival.net,Verified - food vendors,Arcadia Valley Mountain Music Festival on the Iron County Courthouse Square (twice yearly).,2026-06-18
Stoddard County Fair,Dexter,MO,Stoddard,225,,September,3rd week of September (2026),,Not researched,Contact the Stoddard County Fair (573-624-6003),Stoddard County Fair / 573-624-6003,stoddardcountyfair.com,Verified - food vendors,"County fair: carnival, rodeo, food & vendor booths.",2026-06-18
FreedomFest,Doniphan,MO,Ripley,210,,June,Jun 26-27 (2026),,Not researched,Vendor info via the Ripley County Chamber (ripleycountymissouri.org),,ripleycountymissouri.org,Verified - food vendors,"Festival at the Ripley County fairgrounds, Doniphan.",2026-06-18
